java_database
template_name,code
Java Program to Convert Char to Int,"// Java Program to Convert Char to Int
// Using ASCII value
class Geeks 
{
    // Main driver method
    public static void main(String[] args)
    {
        // Initializing a character
        char num = '3';

        // Printing the character value
        System.out.println(""char value: "" + num);


        // Converting character to its integer value
        int n = num - '0';
        

        // Printing the integer value
        System.out.println(""int value: "" + n);
    }
}"
Java Program to Reverse a String using Stack,"// Java Program to Reverse a String using Stack

import java.io.*;
import java.util.*;

class GFG {

    public static String ReverseString(String str)
    {
        char[] reverseString = new char[str.length()];
        // Declare a stack of type Character
        Stack<Character> stack = new Stack<Character>();

        // Traverse the String and push the character one by
        // one into the Stack
        for (int i = 0; i < str.length(); i++) {
            // push the character into the Stack
            stack.push(str.charAt(i));
        }

        // Now Pop the Characters from the stack until it
        // becomes empty

        int i = 0;
        while (!stack.isEmpty()) { // popping element until
                                   // stack become empty
            // get the character from the top of the stack
            reverseString[i++] = stack.pop();
        }
        // return string object
        return new String(reverseString);
    }

    // Driver code
    public static void main(String[] args)
    {
        String str1 = ""GeeksForGeeks"";
      
        // call the function
        System.out.println(str1 + "" <- Reverse -> ""
                           + ReverseString(str1));
      
        String str2 = ""Hello World"";
      
        // call the function
        System.out.println(str2 + "" <- Reverse -> ""
                           + ReverseString(str2));
    }
}"
Java Program to Swap Two Numbers,"public class GFG{
    public static void main(String[] args){
        
        int m = 9, n = 5;
        System.out.println(""Before swapping: m = "" + m + "", n = "" + n);

        int temp = m;
        m = n;
        n = temp;

        System.out.println(""After swapping: m = "" + m + "", n = "" + n);
    }
}"
Java Program to Interchange Elements of First and Last in a Matrix Across Columns,"// Java Program to Interchange Elements of the
// First and Last Column in a Matrix

// Importing input output classes
import java.io.*;

class GFG {

    // Declare static variable and initialize to
    // order of the matrix
    static int N = 4;

    // Method 1
    // To swap first and last column in a matrix
    static void Swap_First_Last(int mat[][])
    {
        int cls = N;

        // Interchanging of elements between the
        // first and last columns
        for (int j = 0; j < N; j++) {
            int temp = mat[j][0];
            mat[j][0] = mat[j][N - 1];
            mat[j][N - 1] = temp;
        }
    }

    // Method 2
    // Main driver method
    public static void main(String[] args)
    {
        // Creating 2D integer element matrix
        // Custom input matrix
        int mat[][]
            = { { 1, 2, 3, 4 }, { 5, 6, 7, 8 }, { 9, 10, 11, 12 }, { 13, 14, 15, 16}};


        // Now, calling the (Method1) to interchange
        // first and last columns in above matrix
        Swap_First_Last(mat);

        // Now simply print the updated matrix
        // Swapped matrix using nested for loops

        // Outer loop for rows
        for (int j = 0; j < N; j++) {

            // Inner loop for columns
            for (int k = 0; k < N; k++)

                // Print the swapped matrix
                System.out.print(mat[j][k] + "" "");

            // Operations over a row is computed so new line
            System.out.println();
        }
    }
}"
Java Program for Hexadecimal to Decimal Conversion,"// Java program to convert Hexadecimal 
// to Decimal Number

// Importing input output classes
import java.io.*;

// Main class
class Geeks
{

    // Method
    // To convert hexadecimal to decimal
    static int hexaToDec(String n)
    {
        // Storing the length of the
        int l = n.length();

        // Initializing base value to 1, i.e 16^0
        int base = 1;

        // Initially declaring and initializing
        // decimal value to zero
        int dec_val = 0;

        // Extracting characters as
        // digits from last character

        for (int i = l - 1; i >= 0; i--) {

            // Condition check
            // Case 1
            // If character lies in '0'-'9', converting
            // it to integral 0-9 by subtracting 48 from
            // ASCII value
            if (n.charAt(i) >= '0'
                && n.charAt(i) <= '9') {
                dec_val += (n.charAt(i) - 48) * base;

                // Incrementing base by power
                base = base * 16;
            }

            // Case 2
            // if case 1 is bypassed

            // Now, if character lies in 'A'-'F' ,
            // converting it to integral 10 - 15 by
            // subtracting 55 from ASCII value
            else if (n.charAt(i) >= 'A'
                     && n.charAt(i) <= 'F') {
                dec_val += (n.charAt(i) - 55) * base;

                // Incrementing base by power
                base = base * 16;
            }
        }

        // Returning the decimal value
        return dec_val;
    }

    // Method 2
    // Main driver method
    public static void main(String[] args)
    {
        // Custom input hexadecimal number to be
        // converted into decimal number
        String n = ""1A"";

        // Calling the above method to convert and
        // alongside printing the hexadecimal number
        System.out.println(hexaToDec(n));
    }
}"
Java Program to Get a Character from a String,"// Java program to get a specific character
// from a given String at a specific index

class GFG{

    // Driver code
    public static void main(String[] args)
    {

        // Get the String
        String str = ""GeeksForGeeks"";

        // Get the index
        int index = 5;

        // Get the specific character
        char ch = str.charAt(index);

        System.out.println(""Character from "" + str
                           + "" at index "" + index
                           + "" is "" + ch);
    }
}"
Java Program to Print Right Triangle Star Pattern,"public class RightTriangleStarPattern {
    public static void main(String[] args) {
        int rows = 5; 
        
        for (int i = 1; i <= rows; i++) {       // Outer loop for rows
            for (int j = 1; j <= i; j++) {     // Inner loop for stars
                System.out.print(""* "");
            }
            System.out.println();               // Move to next line
        }
    }
}"
Java Program to Create a New File,"import java.io.BufferedReader;
import java.io.File;
import java.io.InputStreamReader;

public class CreateUsingFile {
  
    // Function To Make New File
    public void newFile()
    {
        String strPath , strName ;

        try {

            // Creating BufferedReadered object
            BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
            System.out.print(""Enter the file name : "");

            // Reading File name
            strName = br.readLine();
            System.out.print(""Enter the file path : "");

            // Reading File Path
            strPath = br.readLine();

            // Creating File Object
            File file1 = new File(strPath + ""\\"" + strName + "".txt"");

            // Method createNewFile() method creates blank file.
            file1.createNewFile();
        }

        catch (Exception ex1) {
            System.out.print(""Failed to create a file."");
        }
    }
  
    public static void main(String args[]){
      
        // Creating New File via function
        CreateUsingFile gfg = new CreateUsingFile();
        gfg.newFile();
    }
}"
Java Program to Make a File Read-Only,"// Java program to make the file as read only

import java.io.File;

public class GFG {
  
    public static void main(String[] args)
    {
        // flag variable which contains the boolean
        // value returned by setReadOnly() function
        boolean flag;
      
        try {
          
            File file = new File(""/home/mayur/GFG.java"");
          
            // creates a new file
            file.createNewFile();
          
            // flag the file to be read-only
            flag = file.setReadOnly();
          
            System.out.println(""Is File is read-only ? : ""
                               + flag);
          
            // checking whether Is file  writable
            flag = file.canWrite();
            System.out.println(""Is File is writable ? : ""
                               + flag);
        }
      
        catch (Exception e) {
            e.printStackTrace();
        }
    }
}"
Java Program to Convert String to Object,"// Java Program to convert string to an object
import java.io.*;
import java.util.*;
 
class GFG {
    public static void main(String[] args)
    {
        // string
        String s = ""GeeksForGeeks"";
      
        // assigning string to an object
        Object object = s;
      
        // to check the data-typeof the object 
        // to confirm that s has been stored in object
       System.out.println(""Datatype of the variable in object is : ""
                          +object.getClass().getName());
      
       System.out.println(""object is : ""+object);
    }
}"
